n,generation,specimen,fitness,distance
1519,63,6,768.6071644427498,1310.7632912738632
1520,63,7,802.5323246084513,1345.9207764459175
1521,63,8,826.4510124204278,1317.3528061964728
1522,63,9,794.1739649421116,1258.89656342616
1523,63,10,766.2709508218438,1236.1045489486467
1524,63,11,823.4058850467485,1317.6736728269761
1525,63,12,652.1658436645521,1442.9808850363106
1526,63,13,567.2649093591684,1313.8081356309956
1527,63,14,596.0350659502998,1390.0787348936533
1528,63,15,701.6812482201553,1213.3743502068853
1529,63,16,934.3620002475202,1360.6673408429817
1530,63,17,614.1541734733142,1390.8253264461794
1531,63,18,898.395471547952,1318.0489261563073
1532,63,19,642.7717641003462,1317.3003679097656
1533,63,20,828.0204208406191,1299.1197497821208
1534,63,21,773.8502668210956,1277.863431043424
1535,63,22,699.1689289642122,1387.2379383257162
1536,63,23,609.1817726699729,1265.016404005557
1537,64,0,755.044498450562,1369.490267972652
1538,64,1,1062.797537311761,1336.5717547844822
1539,64,2,742.5715959349056,1337.793169552498
1540,64,3,825.5690611244704,1360.0796580200222
1541,64,4,775.5857065237254,1387.0825040088414
1542,64,5,807.7344446258603,1388.5156968362771
1543,64,6,491.15208370213884,1271.9282355541893
1544,64,7,865.4962453783809,1342.2756175721001
1545,64,8,557.3913887928097,1394.0845890628461
1546,64,9,434.8600906263582,1293.2010213780952
1547,64,10,730.3855453129759,1220.4680745042479
1548,64,11,696.3457588548631,1384.527474830042
1549,64,12,661.8691162369436,1367.5990161815891
1550,64,13,802.3546502714471,1374.9892993709122
1551,64,14,660.2956120166654,1274.2927516975328
1552,64,15,683.6081429193284,1403.284422372779
1553,64,16,602.9909977178903,1209.7348996967955
1554,64,17,855.6520618774307,1354.857792099168
1555,64,18,975.4365451518247,1383.274337859674
1556,64,19,824.9696498574349,1305.9403430715581
1557,64,20,957.4809057685736,1207.9851247099368
1558,64,21,852.8915074966995,1287.2833854801809
1559,64,22,604.7029676364839,1263.9657444161173
1560,64,23,643.2121246956576,1319.3301576587874
1561,65,0,823.2850084314243,1406.9644071973642
1562,65,1,897.9005698505787,1352.5905552868142
1563,65,2,820.9255093341853,1322.5409697267603
1564,65,3,877.4462894025197,1241.4300414087702
1565,65,4,723.8189316662006,1271.51289679895
1566,65,5,854.5804005849384,1171.2476009240818
1567,65,6,556.3366568139395,1327.618023704183
1568,65,7,844.6979176260845,1190.0241855806528
1569,65,8,770.3780405172963,1376.6487262535823
1570,65,9,707.253044172844,1322.438633189402
1571,65,10,754.4493454816868,1352.253279941924
1572,65,11,929.453011718779,1354.9098289550145
1573,65,12,550.8908676715645,1341.0296681777554
1574,65,13,848.7966752379576,1308.3774447479302
1575,65,14,856.3287128372172,1383.4638937579368
1576,65,15,825.0959924564024,1398.3855591545034
1577,65,16,639.5754012432876,1328.1867800963644
1578,65,17,713.9267701949129,1355.765400150809
1579,65,18,552.8566974871228,1125.2717594585274
1580,65,19,541.4532336834664,1327.603767891943
1581,65,20,753.8808581343665,1214.7811278158056
1582,65,21,839.1832808362047,1397.9825318887144
1583,65,22,961.9030185519915,1214.3833016831913
1584,65,23,819.3210410809882,1255.989919550242
1585,66,0,960.5299497315136,1272.795948393246
1586,66,1,449.605744483759,1333.3988370791171
1587,66,2,869.0945409176654,1375.1433407705658
1588,66,3,683.7211074911725,1312.4700116325052
1589,66,4,694.3048120046757,1310.977748187734
1590,66,5,570.9828810802494,1408.73340596162
